"filename", "language", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\app.js", "JavaScript", 0, 26, 0, 3, 10, 39
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\controllers\auth.controllers.js", "JavaScript", 0, 88, 0, 1, 9, 98
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\controllers\job.controllers.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\controllers\project.controllers.js", "JavaScript", 0, 195, 0, 11, 12, 218
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\controllers\user.controllers.js", "JavaScript", 0, 157, 0, 1, 12, 170
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\db\seed.js", "JavaScript", 0, 0, 0, 38, 4, 42
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\db\userseed.js", "JavaScript", 0, 32, 0, 0, 3, 35
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\middleware\jwt.middleware.js", "JavaScript", 0, 62, 0, 2, 6, 70
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\models\comment.model.js", "JavaScript", 0, 15, 0, 0, 4, 19
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\models\job.model.js", "JavaScript", 0, 46, 0, 0, 4, 50
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\models\project.model.js", "JavaScript", 0, 56, 0, 0, 4, 60
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\models\user.model.js", "JavaScript", 0, 62, 0, 1, 4, 67
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\package-lock.json", "JSON", 5218, 0, 0, 0, 1, 5219
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\package.json", "JSON", 34, 0, 0, 0, 1, 35
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\routes\auth.routes.js", "JavaScript", 0, 14, 0, 1, 5, 20
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\routes\job.routes.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\routes\project.routes.js", "JavaScript", 0, 26, 0, 0, 6, 32
"c:\Users\Jan Paul Schnabel\Desktop\Ironhack non-onedrive\Project 3\Project-3-react-game-devLinkedin-backend\routes\user.routes.js", "JavaScript", 0, 52, 0, 1, 11, 64
"Total", "-", 5252, 831, 1, 59, 99, 6242
